regio2,totalRent,balcony,livingSpace,noRooms
Stuttgart,750.0,0,24.0,1.0
Köln,2070.0,1,100.57,4.0
Köln,529.0,0,34.3,1.0
Köln,1430.0,1,103.0,3.0
Stuttgart,1150.0,0,75.0,3.0
Köln,1100.0,1,91.5,2.0
Köln,1600.0,0,60.0,2.0
Köln,550.0,0,49.0,2.0
Köln,1120.0,1,93.0,4.0
Köln,1420.0,0,114.0,4.0
Köln,916.07,1,61.38,2.0
Stuttgart,960.0,1,54.0,2.0
Köln,920.0,1,57.8,2.0
Köln,625.0,0,43.0,1.0
Köln,564.0,0,37.0,1.0
Köln,640.0,1,37.0,1.0
Stuttgart,1250.0,0,75.0,3.0
Köln,600.0,0,43.0,2.0
Stuttgart,1200.0,1,63.0,2.5
Stuttgart,2150.0,0,110.0,3.0
Stuttgart,2900.0,0,125.0,4.5
Köln,590.0,0,45.0,2.0
Köln,1103.0,1,80.0,3.0
Stuttgart,1460.0,1,91.0,3.0
Köln,3155.0,1,155.0,4.0
Köln,1830.0,1,110.0,4.0
Stuttgart,720.0,0,30.0,1.0
Stuttgart,2622.0,1,140.78,4.0
Stuttgart,1428.81,1,85.78,4.0
Köln,2390.0,1,150.0,4.0
Stuttgart,1910.0,1,127.0,4.5
Stuttgart,540.0,0,25.0,1.0
Köln,1084.0,1,90.0,3.0
Stuttgart,1580.0,0,40.0,1.0
Köln,945.0,0,70.0,3.0
Köln,1990.0,1,85.0,3.0
Köln,1570.0,0,103.0,4.0
Köln,780.0,1,55.0,2.0
Stuttgart,1560.0,1,78.8,3.0
Köln,1015.0,1,70.0,3.0
Köln,1190.0,0,40.0,1.0
Stuttgart,1590.0,1,45.0,2.0
Stuttgart,790.0,1,55.0,2.0
Köln,1220.0,1,90.0,3.0
Stuttgart,1500.0,1,70.0,3.5
Köln,585.0,1,40.0,1.0
Stuttgart,1000.0,1,57.5,2.0
Stuttgart,1775.0,1,94.0,3.5
Stuttgart,1190.0,0,32.0,1.0
Köln,780.0,1,19.0,1.0
Köln,778.92,1,45.12,1.0
Köln,2020.0,1,141.0,4.5
Stuttgart,930.0,0,60.0,3.0
Köln,1410.0,1,42.0,2.0
Stuttgart,970.0,1,63.0,2.0
Köln,680.0,1,40.0,1.5
Stuttgart,1620.0,1,98.0,3.0
Köln,1690.0,1,134.0,3.5
Stuttgart,1650.0,1,98.0,3.0
Köln,1126.0,1,102.25,3.0
Köln,890.0,1,57.0,2.0
Stuttgart,1340.0,1,71.0,3.0
Köln,3670.0,1,165.0,3.5
Stuttgart,1680.0,1,70.0,3.0
Köln,570.0,1,51.0,2.0
Köln,1445.0,1,85.0,3.0
Stuttgart,1590.0,1,58.0,2.0
Köln,1401.5,1,112.8,5.0
Köln,550.0,1,33.0,1.0
